CITY.NAME,Year,Population,Levy.Rate,Adjusted.Amount,CITY.SIZE
BIRMINGHAM,2020,442.2107772,10.27246,5802056.827,RURAL
BLAIRSBURG,2020,185.7564317,9.14259,4133401.124,RURAL
BLAIRSTOWN,2020,671.4507952,11.06517,18559454.57,RURAL
BLAKESBURG,2020,307.9935418,11.32358,3441535.165,RURAL
BLANCHARD,2020,37.99771491,7.44089,370190.9141,RURAL
BLENCOE,2020,190.2943839,15.23692,8021517.837,RURAL
BLOCKTON,2020,187.3895114,14.94013,1440300.898,RURAL
BLOOMFIELD,2020,2625.745713,17.38788,61016808.82,URBAN CLUSTER
BLUE GRASS,2020,1660.617697,11.52287,70337213.35,RURAL PLUS
BODE,2020,280.5253707,10.49709,8682378.139,RURAL
BONAPARTE,2020,410.6281408,10.03449,6390963.17,RURAL
BONDURANT,2020,5866.057004,13.73549,215720551.1,NANO- and MICROPOLITAN
BOONE,2020,12545.00214,15.62578,341068622.6,NANO- and MICROPOLITAN
BOUTON,2020,124.4564155,16.80539,2322370.343,RURAL
BOXHOLM,2020,186.9150255,6.7002,6088696.517,RURAL
BOYDEN,2020,705.7955648,12.17489,24018811.05,RURAL
BRADDYVILLE,2020,141.3798967,8.1,3271188.687,RURAL
BRADGATE,2020,74.9512865,9.47581,3012173.133,RURAL
BRANDON,2020,317.7089769,10.63137,5070192.441,RURAL
BRAYTON,2020,121.8316139,20.44753,1566880.092,RURAL
BREDA,2020,475.5461146,10.18285,17328517.28,RURAL
BRIDGEWATER,2020,153.440868,9.60032,1903490.711,RURAL
BRIGHTON,2020,649.423378,10.19049,9617100.003,RURAL
BRISTOW,2020,156.8575528,13.31247,2335662.297,RURAL
BRITT,2020,1937.142914,18.38484,46341875.74,RURAL PLUS
BRONSON,2020,343.5789537,9.16197,6119851.45,RURAL
BROOKLYN,2020,1401.568945,14.53645,34519993.39,RURAL PLUS
BRUNSVILLE,2020,151.4447222,7.66142,6585967.882,RURAL
BUCK GROVE,2020,38.01050278,10.83794,679934.783,RURAL
BUCKEYE,2020,108.7927884,10.23207,3850945.124,RURAL
BUFFALO,2020,1290.380189,9.74273,68159915.29,RURAL PLUS
BUFFALO CENTER,2020,812.3263831,16.47278,17633879.47,RURAL PLUS
BURLINGTON,2020,24547.27391,16.33632,683542111.7,NANO- and MICROPOLITAN
BURT,2020,488.4162632,13.29706,6852287.804,RURAL
BUSSEY,2020,392.5146477,12.60576,5571309.658,RURAL
CALAMUS,2020,423.7923221,9.60344,7019398.111,RURAL
CALLENDER,2020,371.8879943,14.12412,6432657.073,RURAL
CALMAR,2020,944.0183698,13.34591,28177707.93,RURAL PLUS
CALUMET,2020,163.8785954,12.99798,3305462.728,RURAL
CAMANCHE,2020,4265.003019,12.16996,149383542.7,URBAN CLUSTER
CAMBRIDGE,2020,860.3103469,9.06877,22703565.94,RURAL PLUS
CANTRIL,2020,205.9468078,11.23923,5080553.063,RURAL
CARBON,2020,20.38877071,8.31468,537336.5757,RURAL
CARLISLE,2020,4226.535917,14.89038,138268284.4,URBAN CLUSTER
CARPENTER,2020,117.0487683,8.1,1918038.165,RURAL
CARROLL,2020,9951.743592,11.59794,450817815.5,NANO- and MICROPOLITAN
CARSON,2020,796.0449568,14.4178,21240383.21,RURAL
CARTER LAKE,2020,3797.12452,12.03386,137492156.9,URBAN CLUSTER
CASCADE,2020,2338.612249,9.0007,88000289.08,RURAL PLUS
CASEY,2020,395.8367109,20.1066,7517561.997,RURAL
CASTALIA,2020,158.2307532,8.1,2972373.479,RURAL
CASTANA,2020,139.1474369,9.56998,1410056.555,RURAL
CEDAR FALLS,2020,41769.85357,10.9525,1659983224,NANO- and MICROPOLITAN
CEDAR RAPIDS,2020,135771.9218,15.43621,5793549403,NANO- and MICROPOLITAN
CENTER POINT,2020,2689.16648,13.01903,83163412.16,URBAN CLUSTER
CENTERVILLE,2020,5321.223065,17.88203,108625333.7,NANO- and MICROPOLITAN
CENTRAL CITY,2020,1314.274405,10.1875,39289773.35,RURAL PLUS
CENTRALIA,2020,119.3486278,2.91669,3740178.311,RURAL
CHARITON,2020,4153.435348,18.73978,85836293.18,URBAN CLUSTER
CHARLES CITY,2020,7322.360976,15.90021,217995526.7,NANO- and MICROPOLITAN
CHARLOTTE,2020,405.3435449,9.14222,5995791.112,RURAL
CHARTER OAK,2020,497.5356458,16.1515,8090507.466,RURAL
CHATSWORTH,2020,74.66105791,8.1,812635.1274,RURAL
CHELSEA,2020,230.097483,12.88441,3157320.837,RURAL
CHEROKEE,2020,4655.172892,15.89347,123666116,URBAN CLUSTER
CHESTER,2020,113.135926,12.36709,2870585.296,RURAL
CHILLICOTHE,2020,73.44297083,8.1,1219117.682,RURAL
CHURDAN,2020,354.455954,15.09772,7147729.348,RURAL
CINCINNATI,2020,353.8452312,14.32367,3590406.157,RURAL
CLARE,2020,141.8438785,15.22293,6920164.925,RURAL
CLARENCE,2020,980.4390909,9.92521,26403496.76,RURAL PLUS
CLARINDA,2020,5498.96421,17,111850698.2,NANO- and MICROPOLITAN
CLARION,2020,2779.305913,17.90462,79247192.84,URBAN CLUSTER
CLARKSVILLE,2020,1387.643278,15.89998,26792948.36,RURAL PLUS
CLAYTON,2020,42.24812032,5.65807,5565701.55,RURAL
CLEAR LAKE,2020,7388.071964,9.7,545894616.1,NANO- and MICROPOLITAN
CLEARFIELD,2020,346.4022322,16.89708,6480946.67,RURAL
CLEGHORN,2020,211.4159464,14.7266,7188847.355,RURAL
CLEMONS,2020,137.4722557,9.91425,1946318.335,RURAL
CLERMONT,2020,594.8487995,12.37551,16517910.75,RURAL
CLINTON,2020,24977.53725,16.31584,807157002.1,NANO- and MICROPOLITAN
CLIO,2020,68.00909297,8.1,2085736.152,RURAL
CLIVE,2020,18943.45921,10.14475,1278057189,NANO- and MICROPOLITAN
CLUTIER,2020,214.7059351,12.6904,3415394.374,RURAL
COBURG,2020,26.56053968,11.47169,557825.2618,RURAL
COGGON,2020,688.9190378,12.9688,15008071.04,RURAL
COIN,2020,176.4234085,14.10421,2315810.789,RURAL
COLESBURG,2020,376.1560371,11.27617,10169779.92,RURAL
COLFAX,2020,1956.531625,16.54647,44156799.55,RURAL PLUS
COLLEGE SPRINGS,2020,209.5450684,14.42061,2372589.544,RURAL
COLLINS,2020,493.2635963,16.11056,9330092.62,RURAL
COLO,2020,885.5809602,12.36907,22294830.08,RURAL PLUS
COLUMBUS CITY,2020,388.619554,8.72177,4727742.727,RURAL
COLUMBUS JUNCTION,2020,1902.287309,13.22496,29320411.41,RURAL PLUS
COLWELL,2020,64.61260988,10.73227,1131084.999,RURAL
CONESVILLE,2020,460.5546969,8.70845,3638440.412,RURAL
CONRAD,2020,1094.91536,11.05334,31788993.26,RURAL PLUS
CONWAY,2020,42.5394367,15.13953,236417.3453,RURAL
COON RAPIDS,2020,1252.145393,14.46758,34364597.41,RURAL PLUS
COPPOCK,2020,51.84991781,8.1,464051.6926,RURAL
CORALVILLE,2020,22925.13457,13.5277,1472337186,NANO- and MICROPOLITAN
CORNING,2020,1471.084551,17.71445,28715732.76,RURAL PLUS
CORRECTIONVILLE,2020,780.5306002,16.82762,15671757.39,RURAL
CORWITH,2020,259.6440743,15.23055,7096174.508,RURAL
CORYDON,2020,1519.848012,18.49994,26983835.38,RURAL PLUS
COTTER,2020,45.69178886,7.44361,613319.4474,RURAL
COULTER,2020,270.4511506,19.13493,4597404.105,RURAL
COUNCIL BLUFFS,2020,63968.68909,18.26,2350372609,NANO- and MICROPOLITAN
CRAIG,2020,83.91200032,8.1,6682210.025,RURAL
CRAWFORDSVILLE,2020,265.1141424,7.4925,5255390.428,RURAL
CRESCENT,2020,660.2338082,7.50933,22897917.76,RURAL
CRESCO,2020,3817.316083,16.23466,102971277.3,URBAN CLUSTER
CRESTON,2020,7718.85138,14.1256,185150722.6,NANO- and MICROPOLITAN
CROMWELL,2020,106.2257531,8.64171,2049912.771,RURAL
CRYSTAL LAKE,2020,247.8794908,14.18262,3036865.15,RURAL
CUMBERLAND,2020,236.2041262,25.22844,4356644.365,RURAL
CUMMING,2020,439.9403026,11.11443,24898646.84,RURAL
CURLEW,2020,57.21613794,8.1,722709.7669,RURAL
CUSHING,2020,219.7805318,13.87893,3754359.644,RURAL
CYLINDER,2020,81.26601461,10.53243,1479267.742,RURAL
DAKOTA CITY,2020,752.531472,11.08507,19602462.89,RURAL
DALLAS CENTER,2020,1756.118676,12.67557,77468855.33,RURAL PLUS
DANA,2020,71.84380963,11.017,1309654.293,RURAL
DANBURY,2020,303.7762045,6.18247,8926926.377,RURAL
DANVILLE,2020,887.2098976,12.45995,20665131.8,RURAL PLUS
DAVENPORT,2020,102604.428,16.78,3906522531,NANO- and MICROPOLITAN
DAVIS CITY,2020,186.1364988,13.64108,2396613.742,RURAL
DAWSON,2020,124.9209091,10.2958,2674524.645,RURAL
DAYTON,2020,821.0164291,20.81053,13203345.25,RURAL PLUS
DE SOTO,2020,1065.496406,12.70163,34753944.52,RURAL PLUS
DE WITT,2020,5430.880287,14.26209,219784871.4,NANO- and MICROPOLITAN
DECATUR CITY,2020,190.4002171,11.7842,2301591.744,RURAL
DECORAH,2020,7672.787888,14.20887,285133437,NANO- and MICROPOLITAN
DEDHAM,2020,253.0465729,7.90558,6466164.301,RURAL
DEEP RIVER,2020,250.1372736,14.49348,3326610.591,RURAL
DEFIANCE,2020,275.3653429,9.81487,6139545.825,RURAL
DELAWARE,2020,154.0949144,8.1,3913890.598,RURAL
DELHI,2020,455.3620758,11.23543,17969958.19,RURAL
DELMAR,2020,489.2674795,9.29492,10108167.72,RURAL
DELOIT,2020,246.7330687,12.33373,3326267.253,RURAL
DELTA,2020,314.6218424,12.58447,2679722.633,RURAL
DENISON,2020,8588.45316,19.05157,183692992.4,NANO- and MICROPOLITAN
DENVER,2020,1816.90111,7.96223,64880859.69,RURAL PLUS
DERBY,2020,111.1413998,19.29823,731269.6348,RURAL
DES MOINES,2020,214688.9037,16.64,7358118182,NANO- and MICROPOLITAN
DEXTER,2020,657.6611881,11.95455,17415365.96,RURAL
DIAGONAL,2020,319.7828254,17.25813,4264607.125,RURAL
DICKENS,2020,168.4054637,8.1,5775417.921,RURAL
DIKE,2020,1347.21206,13.58433,51758589.23,RURAL PLUS
DIXON,2020,270.1259186,8.37,4451705.646,RURAL
DOLLIVER,2020,50.34977277,8.1,1519354.165,RURAL
DONAHUE,2020,355.3440173,7.22454,11678434.05,RURAL
DONNELLSON,2020,854.9295925,10.59057,19299091.58,RURAL PLUS
DOON,2020,571.4382614,8.1,19459368.92,RURAL
DOUGHERTY,2020,46.18730357,14.68144,2054405.229,RURAL
DOW CITY,2020,518.6183573,13.86289,7513327.239,RURAL
DOWS,2020,492.3722087,17.0191,7425977.302,RURAL
DRAKESVILLE,2020,196.5839078,10.24191,2177733.323,RURAL
DUBUQUE,2020,57958.7244,10.33144,2347724344,NANO- and MICROPOLITAN
DUMONT,2020,598.6797556,15.16311,9476746.453,RURAL
DUNCOMBE,2020,393.0234462,12.63167,12987245.32,RURAL
DUNDEE,2020,164.9749382,10.88767,2923156.792,RURAL
DUNKERTON,2020,877.6455526,8.17478,27167524.1,RURAL PLUS
DUNLAP,2020,917.8896243,17.43958,33774114.23,RURAL PLUS
DURANGO,2020,18.82676809,0.95255,707877.9003,RURAL
DURANT,2020,1885.792436,14.67377,68208648,RURAL PLUS
DYERSVILLE,2020,4297.1684,8.50019,244325542.1,URBAN CLUSTER
DYSART,2020,1363.095121,14.97823,36720817.53,RURAL PLUS
EAGLE GROVE,2020,3372.373233,18.14178,80417840.22,URBAN CLUSTER
EARLHAM,2020,1457.151687,13.99056,40362078.5,RURAL PLUS
EARLING,2020,415.4930961,13.00007,9104890.706,RURAL
EARLVILLE,2020,775.1847219,12.21535,19808661.03,RURAL
EARLY,2020,500.5785099,16.42194,8755247.403,RURAL
EAST PERU,2020,130.2772105,12.24018,1626621.606,RURAL
EDDYVILLE,2020,1009.378299,16.41839,16389779.07,RURAL PLUS
EDGEWOOD,2020,881.2941863,12.70361,28162454.95,RURAL PLUS
ELBERON,2020,202.0671968,9.35407,4580307.939,RURAL
ELDON,2020,895.440706,16.64043,8537891.182,RURAL PLUS
ELDORA,2020,2593.805826,20.46632,49794088.94,URBAN CLUSTER
ELDRIDGE,2020,6734.394731,6.74949,338501657.7,NANO- and MICROPOLITAN
ELGIN,2020,660.272246,19.29866,14219785.38,RURAL
ELK HORN,2020,614.2257742,13.02604,14139997.51,RURAL
ELK RUN HEIGHTS,2020,1136.443197,8.1,36566790.98,RURAL PLUS
ELKADER,2020,1194.805254,18.10597,38600265.98,RURAL PLUS
ELKHART,2020,801.8168398,10.10824,25482248.34,RURAL PLUS
ELKPORT,2020,41.77585744,5.95412,608041.3204,RURAL
ELLIOTT,2020,309.055842,18.41691,3924904.897,RURAL
ELLSTON,2020,42.86510347,10.74885,525414.0428,RURAL
ELLSWORTH,2020,529.9391361,10.11183,21341260.8,RURAL
ELMA,2020,503.5420716,12.89881,9630913.642,RURAL
ELY,2020,2424.573175,10.81191,77672706.68,RURAL PLUS
EMERSON,2020,441.3778393,10.55607,8210890.871,RURAL
EMMETSBURG,2020,3703.516414,13.87573,108777662.4,URBAN CLUSTER
EPWORTH,2020,2028.642653,10.2,55794660.06,RURAL PLUS
ESSEX,2020,738.2374082,15.12673,13472590.22,RURAL
ESTHERVILLE,2020,5800.089806,15.95037,136620466.2,NANO- and MICROPOLITAN
EVANSDALE,2020,4845.566062,9.30626,114689755.4,URBAN CLUSTER
EVERLY,2020,550.7061187,10.70077,14388444.24,RURAL
EXIRA,2020,724.2295041,19.00257,12684706.82,RURAL
EXLINE,2020,147.5096188,12.84265,1572049.011,RURAL
FAIRBANK,2020,1141.260845,10.72915,29672233.38,RURAL PLUS
FAIRFAX,2020,2846.773089,8.1,120742428.1,URBAN CLUSTER
FAIRFIELD,2020,9797.202026,15.70584,282515740.6,NANO- and MICROPOLITAN
FARLEY,2020,1661.702243,9.51,75144462.67,RURAL PLUS
FARMERSBURG,2020,274.655688,13.2795,3971825.858,RURAL
FARMINGTON,2020,661.7625144,12.92948,8189427.955,RURAL
FARNHAMVILLE,2020,340.0758481,8.1,15513623.36,RURAL
FARRAGUT,2020,442.1379909,16.53919,7446847.824,RURAL
FAYETTE,2020,1371.975814,13.73404,22791625.33,RURAL PLUS
FENTON,2020,225.7387178,15.59406,3079808.267,RURAL
FERGUSON,2020,110.1166526,16.24157,1005623.026,RURAL
FERTILE,2020,355.2998009,12.47513,6471995.539,RURAL
FLORIS,2020,132.6729319,8.235,1372416.706,RURAL
FLOYD,2020,326.5076858,8.95075,11678553.47,RURAL
FONDA,2020,550.7663973,24.95952,9221883.162,RURAL
FONTANELLE,2020,575.1321231,11.31403,12158478.83,RURAL
FOREST CITY,2020,3927.681347,17.63589,119875533.9,URBAN CLUSTER
FORT ATKINSON,2020,330.5189489,13.0614,8637602.055,RURAL
FORT DODGE,2020,24270.04736,20.42025,641277904.8,NANO- and MICROPOLITAN
FORT MADISON,2020,10358.98429,15.36526,246822013.7,NANO- and MICROPOLITAN
FOSTORIA,2020,246.2028444,8.1,9726804.59,RURAL
FRANKLIN,2020,140.1199048,8.02678,2260733.008,RURAL
FRASER,2020,101.3817283,3.96071,1658884.334,RURAL
FREDERICKSBURG,2020,896.030962,10.59612,22978135.39,RURAL PLUS
FREDERIKA,2020,197.1509349,9.59217,4307587.954,RURAL
FREDONIA,2020,254.2550982,7.38268,2029479.868,RURAL
FREMONT,2020,718.5098521,8.9166,11264621.2,RURAL
FRUITLAND,2020,1121.418849,7.20632,27670552.06,RURAL PLUS
GALT,2020,26.08225721,6.20714,1320081.697,RURAL
GALVA,2020,401.0377894,12.60064,7399721.803,RURAL
GARBER,2020,73.11550655,8.1,1498756.271,RURAL
GARDEN GROVE,2020,203.4588826,19.21949,1740163.403,RURAL
GARNAVILLO,2020,736.7773347,14.17122,17694807.34,RURAL
GARNER,2020,3066.870371,13.23767,107730851.4,URBAN CLUSTER
GARRISON,2020,392.1398416,10.82852,3869210.366,RURAL
GARWIN,2020,508.7676344,11.91899,8604251.961,RURAL
GENEVA,2020,159.2938147,13.78642,2014222.168,RURAL
GEORGE,2020,1028.207138,14.8533,24894174.81,RURAL PLUS
GIBSON,2020,62.80937695,2.12043,1376565.04,RURAL
GILBERT,2020,1210.50369,10.02828,39976076.77,RURAL PLUS
GILBERTVILLE,2020,732.1485878,12.21391,22681547.55,RURAL
GILLETT GROVE,2020,44.5801783,12.82392,600326.0471,RURAL
GILMAN,2020,506.6492243,8.25439,8781817.17,RURAL
GILMORE CITY,2020,481.322453,14.21267,8362523.491,RURAL
GLADBROOK,2020,933.7674124,13.38623,18569930.68,RURAL PLUS
GLENWOOD,2020,5384.32301,15.30983,138587181.3,NANO- and MICROPOLITAN
GLIDDEN,2020,1161.390616,11.11079,29366398.21,RURAL PLUS
GOLDFIELD,2020,579.8618259,10.90002,18632768.52,RURAL
GOODELL,2020,117.5485847,16.84174,1710971.857,RURAL
GOOSE LAKE,2020,243.3681316,8.1,4974735.182,RURAL
GOWRIE,2020,996.4742597,17.71024,22329378.32,RURAL PLUS
GRAETTINGER,2020,829.5243585,11.55913,16683464.64,RURAL PLUS
GRAF,2020,76.83531855,3.00029,1986270.409,RURAL
GRAFTON,2020,259.0610291,13.86438,4929614.19,RURAL
GRAND JUNCTION,2020,814.8547372,15.28962,11749691.12,RURAL PLUS
GRAND MOUND,2020,630.8657187,10.77372,16866119.42,RURAL
GRAND RIVER,2020,230.2796403,12.44543,1509959.131,RURAL
GRANDVIEW,2020,566.8383587,8.1,8293505.578,RURAL
GRANGER,2020,1535.960292,15.42027,59848863.35,RURAL PLUS
GRANT,2020,77.0710906,18.59046,965497.3196,RURAL
GRANVILLE,2020,328.0751387,10.64952,9248544.067,RURAL
GRAVITY,2020,178.3342015,13.128,1001448.765,RURAL
GRAY,2020,57.8579604,11.33082,1129878.996,RURAL
GREELEY,2020,238.7973571,14.59336,3895439.152,RURAL
GREENE,2020,1050.528789,17.24019,25578300.35,RURAL PLUS
GREENFIELD,2020,1811.351142,13.01604,52469338.75,RURAL PLUS
GREENVILLE,2020,72.05652448,7.79098,2272961.166,RURAL
GRIMES,2020,13020.35978,12.81293,821579195.5,NANO- and MICROPOLITAN
GRINNELL,2020,9151.174655,14.83076,294226961.4,NANO- and MICROPOLITAN
GRISWOLD,2020,955.3335435,12.7997,20988605.24,RURAL PLUS
GRUNDY CENTER,2020,2670.726383,15.2633,82104494.82,URBAN CLUSTER
GRUVER,2020,86.53058195,8.1,6609662.885,RURAL
GUERNSEY,2020,60.60077709,9.73927,1958402.716,RURAL
GUTHRIE CENTER,2020,1474.053714,15.87839,37147245.09,RURAL PLUS
GUTTENBERG,2020,1724.909573,15.40653,69193392.65,RURAL PLUS
HALBUR,2020,241.3406255,9.13349,6361653.774,RURAL
HAMBURG,2020,1051.001209,11.88496,27535755.55,RURAL PLUS
HAMILTON,2020,140.1868501,8.31762,2093729.553,RURAL
HAMPTON,2020,4328.754303,13.64095,92499471.94,URBAN CLUSTER
HANCOCK,2020,195.6003407,11.18954,7228369.667,RURAL
HANLONTOWN,2020,236.0399464,11.73797,6224991.299,RURAL
HANSELL,2020,94.55297745,20.81026,1261928.806,RURAL
HARCOURT,2020,308.9710174,9.89599,4989154.572,RURAL
HARDY,2020,59.1441784,8.1,4769874.248,RURAL
HARLAN,2020,4834.647563,17.09573,145007207.1,URBAN CLUSTER
HARPER,2020,98.93470718,8.1,2504272.446,RURAL
HARPERS FERRY,2020,333.656562,7.84007,25984903.9,RURAL
HARRIS,2020,166.3956487,14.60913,4347002.63,RURAL
HARTFORD,2020,770.1116853,10.33672,15102825.91,RURAL
HARTLEY,2020,1579.531798,14.9973,31154327.96,RURAL PLUS
HARTWICK,2020,70.15411872,10.85939,1648017.74,RURAL
HARVEY,2020,248.770578,8.37,4026889.497,RURAL
HASTINGS,2020,144.205899,13.85997,2789207.233,RURAL
HAVELOCK,2020,114.7809558,11.94817,4483061.711,RURAL
HAVERHILL,2020,189.4257404,8.1,4337311.398,RURAL
HAWARDEN,2020,2476.535754,14.59196,49994557.98,RURAL PLUS
HAWKEYE,2020,421.2262464,12.10277,9396253.839,RURAL
HAYESVILLE,2020,48.8858108,10.0206,807994.964,RURAL
HAZLETON,2020,885.2523741,10.93797,10752088.99,RURAL PLUS
HEDRICK,2020,750.6050777,12.60409,10573132.36,RURAL
HENDERSON,2020,174.9913469,13.69284,2533138.725,RURAL
HEPBURN,2020,8.827924717,8.1,220893.304,RURAL
HIAWATHA,2020,7568.169386,14.99971,406682492.2,NANO- and MICROPOLITAN
HILLS,2020,795.5505511,8.1,41411606.3,RURAL
HILLSBORO,2020,190.0679823,9.93669,3053279.355,RURAL
HINTON,2020,987.4902045,11.13341,40514236.73,RURAL PLUS
HOLLAND,2020,296.7056646,10.68276,4506303.383,RURAL
HOLSTEIN,2020,1348.900937,15.59934,44624470.82,RURAL PLUS
HOLY CROSS,2020,390.3844602,6.62746,9670509.022,RURAL
HOPKINTON,2020,592.596252,13.58711,12610914.4,RURAL
HORNICK,2020,227.2515086,9.81985,6676453.425,RURAL
HOSPERS,2020,708.4069526,11.86105,21019031.07,RURAL
HOUGHTON,2020,142.172014,7.19999,7420246.63,RURAL
HUBBARD,2020,831.8928577,11.19867,17609658.07,RURAL PLUS
HUDSON,2020,2415.212301,11.40019,102324310,RURAL PLUS
HULL,2020,2343.894944,11.98396,91863589.64,RURAL PLUS
HUMBOLDT,2020,4533.648668,15.65072,167089172.7,URBAN CLUSTER
HUMESTON,2020,467.7880582,11.00112,9393470.998,RURAL
HUXLEY,2020,3848.778701,11.85,160256175.4,URBAN CLUSTER
IDA GROVE,2020,2011.797047,13.42649,60899359.89,RURAL PLUS
IMOGENE,2020,61.35976878,10.27231,892624.1273,RURAL
INDEPENDENCE,2020,6053.899262,15.99999,183056427.4,NANO- and MICROPOLITAN
INDIANOLA,2020,16355.44435,13.27899,506575836.6,NANO- and MICROPOLITAN
INWOOD,2020,836.3259797,9.38209,27232101.41,RURAL PLUS
IONIA,2020,268.8202883,8.74104,5336348.944,RURAL
IOWA CITY,2020,75467.16966,15.83305,3345520198,NANO- and MICROPOLITAN
IOWA FALLS,2020,5039.526874,17.81784,173303660.4,NANO- and MICROPOLITAN
