"","Tax.Type","Levy.Authority.Code","CITY.NAME","Year","Population","FIPS_PL","county","latitude","longitude","Type","Amount","GDPD.BY.2006","Adjusted.Amount","CITY.SIZE","Levy.Rate","MSA","hub50","miles50","min50","hub25","miles25","min25","hub10","miles10","min10","microMSA","Prop.Tax.Revenue","Per.Capita.Revenue","Group.Per.Capita.Revenue","Per.Capita.Valuation","Group.Tax.Valuation","Group.Per.Capita.Valuation","Group.Levy.Rate","Fiscal.Capacity","Fiscal.Effort","hub_min","QOLjobs_i14","QOLmed_i14","QOLk12_i14","QOLhousing_i14","QOLgovt_i14","QOLchildsrv_i14","QOLseniorsrv_i14","QoL.Average","radius_mi","div_metric","div_metric_nice","value"
"11","TOTALS","55G518","BANCROFT",2020,676.2671077,1904420,"Kossuth County",43.29,-94.21,"Valuation With G&E Utilities",23662556,127.2800012,18590945.77,"RURAL",16.17854,"Ames","Ames",124.46,134,"Fort Dodge",58.65,72,"Spencer",61.41,73,"Fort Dodge, microMSA",300774.3598,444.7567482,0.465536011,27490.53674,532921952,23487.57744,12.47050631,117.0428785,129.7344278,72,NA,NA,NA,NA,NA,NA,NA,NA,5,"simp_d1","Simpson's Diveristy Index, Chance",0.485863707096224
"12","TOTALS","55G518","BANCROFT",2020,676.2671077,1904420,"Kossuth County",43.29,-94.21,"Valuation With G&E Utilities",23662556,127.2800012,18590945.77,"RURAL",16.17854,"Ames","Ames",124.46,134,"Fort Dodge",58.65,72,"Spencer",61.41,73,"Fort Dodge, microMSA",300774.3598,444.7567482,0.465536011,27490.53674,532921952,23487.57744,12.47050631,117.0428785,129.7344278,72,NA,NA,NA,NA,NA,NA,NA,NA,5,"simp_e","Simpson's Evenness Index",0.216112172287177
"13","TOTALS","95G911","BUFFALO CENTER",2020,812.3263831,1909280,"Winnebago County",43.38,-93.94,"Valuation With G&E Utilities",22444402,127.2800012,17633879.47,"RURAL PLUS",16.47278,"Ames","Ames",132.86,129,"Mason City",52.3,62,"Spencer",78.58,89,"Mason City, microMSA",290479.017,357.5890468,0.250291424,21707.87486,1573004675,25508.91454,13.99845348,85.0991712,117.6757134,62,NA,NA,NA,NA,NA,NA,NA,NA,5,"ag_prop","Proportion of land dedicated to ag",0.898553001344016
"14","TOTALS","95G911","BUFFALO CENTER",2020,812.3263831,1909280,"Winnebago County",43.38,-93.94,"Valuation With G&E Utilities",22444402,127.2800012,17633879.47,"RURAL PLUS",16.47278,"Ames","Ames",132.86,129,"Mason City",52.3,62,"Spencer",78.58,89,"Mason City, microMSA",290479.017,357.5890468,0.250291424,21707.87486,1573004675,25508.91454,13.99845348,85.0991712,117.6757134,62,NA,NA,NA,NA,NA,NA,NA,NA,5,"ncrops","Number of unique crops grown",8
"15","TOTALS","95G911","BUFFALO CENTER",2020,812.3263831,1909280,"Winnebago County",43.38,-93.94,"Valuation With G&E Utilities",22444402,127.2800012,17633879.47,"RURAL PLUS",16.47278,"Ames","Ames",132.86,129,"Mason City",52.3,62,"Spencer",78.58,89,"Mason City, microMSA",290479.017,357.5890468,0.250291424,21707.87486,1573004675,25508.91454,13.99845348,85.0991712,117.6757134,62,NA,NA,NA,NA,NA,NA,NA,NA,5,"shan_div_h","Shannon's Diversity Index",0.709912665641041
"16","TOTALS","95G911","BUFFALO CENTER",2020,812.3263831,1909280,"Winnebago County",43.38,-93.94,"Valuation With G&E Utilities",22444402,127.2800012,17633879.47,"RURAL PLUS",16.47278,"Ames","Ames",132.86,129,"Mason City",52.3,62,"Spencer",78.58,89,"Mason City, microMSA",290479.017,357.5890468,0.250291424,21707.87486,1573004675,25508.91454,13.99845348,85.0991712,117.6757134,62,NA,NA,NA,NA,NA,NA,NA,NA,5,"shan_e","Shannon's Evenness Index",0.341395827394865
"17","TOTALS","95G911","BUFFALO CENTER",2020,812.3263831,1909280,"Winnebago County",43.38,-93.94,"Valuation With G&E Utilities",22444402,127.2800012,17633879.47,"RURAL PLUS",16.47278,"Ames","Ames",132.86,129,"Mason City",52.3,62,"Spencer",78.58,89,"Mason City, microMSA",290479.017,357.5890468,0.250291424,21707.87486,1573004675,25508.91454,13.99845348,85.0991712,117.6757134,62,NA,NA,NA,NA,NA,NA,NA,NA,5,"simp_d1","Simpson's Diveristy Index, Chance",0.486681243645634
"18","TOTALS","95G911","BUFFALO CENTER",2020,812.3263831,1909280,"Winnebago County",43.38,-93.94,"Valuation With G&E Utilities",22444402,127.2800012,17633879.47,"RURAL PLUS",16.47278,"Ames","Ames",132.86,129,"Mason City",52.3,62,"Spencer",78.58,89,"Mason City, microMSA",290479.017,357.5890468,0.250291424,21707.87486,1573004675,25508.91454,13.99845348,85.0991712,117.6757134,62,NA,NA,NA,NA,NA,NA,NA,NA,5,"simp_e","Simpson's Evenness Index",0.243513408486689
"19","TOTALS","85G814","COLO",2020,885.5809602,1915240,"Story County",42.01,-93.31,"Valuation With G&E Utilities",28376860,127.2800012,22294830.08,"RURAL PLUS",12.36907,"Ames","Ames",19.93,25,"Marshalltown",23.52,28,"Boone",32.05,34,"Ames",275766.3139,311.3959382,0.250291424,25175.37197,1573004675,25508.91454,13.99845348,98.69244702,88.36026078,25,NA,NA,NA,NA,NA,NA,NA,NA,5,"ag_prop","Proportion of land dedicated to ag",0.820204218089507
"20","TOTALS","85G814","COLO",2020,885.5809602,1915240,"Story County",42.01,-93.31,"Valuation With G&E Utilities",28376860,127.2800012,22294830.08,"RURAL PLUS",12.36907,"Ames","Ames",19.93,25,"Marshalltown",23.52,28,"Boone",32.05,34,"Ames",275766.3139,311.3959382,0.250291424,25175.37197,1573004675,25508.91454,13.99845348,98.69244702,88.36026078,25,NA,NA,NA,NA,NA,NA,NA,NA,5,"ncrops","Number of unique crops grown",7
"21","TOTALS","85G814","COLO",2020,885.5809602,1915240,"Story County",42.01,-93.31,"Valuation With G&E Utilities",28376860,127.2800012,22294830.08,"RURAL PLUS",12.36907,"Ames","Ames",19.93,25,"Marshalltown",23.52,28,"Boone",32.05,34,"Ames",275766.3139,311.3959382,0.250291424,25175.37197,1573004675,25508.91454,13.99845348,98.69244702,88.36026078,25,NA,NA,NA,NA,NA,NA,NA,NA,5,"shan_div_h","Shannon's Diversity Index",0.706626577040718
"22","TOTALS","85G814","COLO",2020,885.5809602,1915240,"Story County",42.01,-93.31,"Valuation With G&E Utilities",28376860,127.2800012,22294830.08,"RURAL PLUS",12.36907,"Ames","Ames",19.93,25,"Marshalltown",23.52,28,"Boone",32.05,34,"Ames",275766.3139,311.3959382,0.250291424,25175.37197,1573004675,25508.91454,13.99845348,98.69244702,88.36026078,25,NA,NA,NA,NA,NA,NA,NA,NA,5,"shan_e","Shannon's Evenness Index",0.363134226615636
"23","TOTALS","85G814","COLO",2020,885.5809602,1915240,"Story County",42.01,-93.31,"Valuation With G&E Utilities",28376860,127.2800012,22294830.08,"RURAL PLUS",12.36907,"Ames","Ames",19.93,25,"Marshalltown",23.52,28,"Boone",32.05,34,"Ames",275766.3139,311.3959382,0.250291424,25175.37197,1573004675,25508.91454,13.99845348,98.69244702,88.36026078,25,NA,NA,NA,NA,NA,NA,NA,NA,5,"simp_d1","Simpson's Diveristy Index, Chance",0.468188152693383
"24","TOTALS","85G814","COLO",2020,885.5809602,1915240,"Story County",42.01,-93.31,"Valuation With G&E Utilities",28376860,127.2800012,22294830.08,"RURAL PLUS",12.36907,"Ames","Ames",19.93,25,"Marshalltown",23.52,28,"Boone",32.05,34,"Ames",275766.3139,311.3959382,0.250291424,25175.37197,1573004675,25508.91454,13.99845348,98.69244702,88.36026078,25,NA,NA,NA,NA,NA,NA,NA,NA,5,"simp_e","Simpson's Evenness Index",0.268623468207128
"25","TOTALS","99G951","EAGLE GROVE",2020,3372.373233,1923250,"Wright County",42.66,-93.9,"Valuation With G&E Utilities",102355828,127.2800012,80417840.22,"URBAN CLUSTER",18.14178,"Ames","Ames",65.71,69,"Fort Dodge",24.84,32,"Boone",46.01,56,"Fort Dodge, microMSA",1458922.765,432.610113,0.132155136,23846.06764,1326932150,30660.39876,15.70403798,77.77481247,115.5230267,32,NA,NA,NA,NA,NA,NA,NA,NA,5,"ag_prop","Proportion of land dedicated to ag",0.833963603598684
"26","TOTALS","99G951","EAGLE GROVE",2020,3372.373233,1923250,"Wright County",42.66,-93.9,"Valuation With G&E Utilities",102355828,127.2800012,80417840.22,"URBAN CLUSTER",18.14178,"Ames","Ames",65.71,69,"Fort Dodge",24.84,32,"Boone",46.01,56,"Fort Dodge, microMSA",1458922.765,432.610113,0.132155136,23846.06764,1326932150,30660.39876,15.70403798,77.77481247,115.5230267,32,NA,NA,NA,NA,NA,NA,NA,NA,5,"ncrops","Number of unique crops grown",9
"27","TOTALS","99G951","EAGLE GROVE",2020,3372.373233,1923250,"Wright County",42.66,-93.9,"Valuation With G&E Utilities",102355828,127.2800012,80417840.22,"URBAN CLUSTER",18.14178,"Ames","Ames",65.71,69,"Fort Dodge",24.84,32,"Boone",46.01,56,"Fort Dodge, microMSA",1458922.765,432.610113,0.132155136,23846.06764,1326932150,30660.39876,15.70403798,77.77481247,115.5230267,32,NA,NA,NA,NA,NA,NA,NA,NA,5,"shan_div_h","Shannon's Diversity Index",0.727218524762337
"28","TOTALS","99G951","EAGLE GROVE",2020,3372.373233,1923250,"Wright County",42.66,-93.9,"Valuation With G&E Utilities",102355828,127.2800012,80417840.22,"URBAN CLUSTER",18.14178,"Ames","Ames",65.71,69,"Fort Dodge",24.84,32,"Boone",46.01,56,"Fort Dodge, microMSA",1458922.765,432.610113,0.132155136,23846.06764,1326932150,30660.39876,15.70403798,77.77481247,115.5230267,32,NA,NA,NA,NA,NA,NA,NA,NA,5,"shan_e","Shannon's Evenness Index",0.33097141378419
"29","TOTALS","99G951","EAGLE GROVE",2020,3372.373233,1923250,"Wright County",42.66,-93.9,"Valuation With G&E Utilities",102355828,127.2800012,80417840.22,"URBAN CLUSTER",18.14178,"Ames","Ames",65.71,69,"Fort Dodge",24.84,32,"Boone",46.01,56,"Fort Dodge, microMSA",1458922.765,432.610113,0.132155136,23846.06764,1326932150,30660.39876,15.70403798,77.77481247,115.5230267,32,NA,NA,NA,NA,NA,NA,NA,NA,5,"simp_d1","Simpson's Diveristy Index, Chance",0.490722264756948
"30","TOTALS","99G951","EAGLE GROVE",2020,3372.373233,1923250,"Wright County",42.66,-93.9,"Valuation With G&E Utilities",102355828,127.2800012,80417840.22,"URBAN CLUSTER",18.14178,"Ames","Ames",65.71,69,"Fort Dodge",24.84,32,"Boone",46.01,56,"Fort Dodge, microMSA",1458922.765,432.610113,0.132155136,23846.06764,1326932150,30660.39876,15.70403798,77.77481247,115.5230267,32,NA,NA,NA,NA,NA,NA,NA,NA,5,"simp_e","Simpson's Evenness Index",0.218173902807833
"31","TOTALS","14G119","GLIDDEN",2020,1161.390616,1931395,"Carroll County",42.05,-94.72,"Valuation With G&E Utilities",37377552,127.2800012,29366398.21,"RURAL PLUS",11.11079,"Ames","Ames",60.8,68,"Fort Dodge",55.32,66,"Carroll",7.61,11,"Carroll, microMSA",326283.8836,280.9424142,0.250291424,25285.54803,1573004675,25508.91454,13.99845348,99.12435901,79.37155355,11,NA,NA,NA,NA,NA,NA,NA,NA,5,"ag_prop","Proportion of land dedicated to ag",0.883597973547312
"32","TOTALS","14G119","GLIDDEN",2020,1161.390616,1931395,"Carroll County",42.05,-94.72,"Valuation With G&E Utilities",37377552,127.2800012,29366398.21,"RURAL PLUS",11.11079,"Ames","Ames",60.8,68,"Fort Dodge",55.32,66,"Carroll",7.61,11,"Carroll, microMSA",326283.8836,280.9424142,0.250291424,25285.54803,1573004675,25508.91454,13.99845348,99.12435901,79.37155355,11,NA,NA,NA,NA,NA,NA,NA,NA,5,"ncrops","Number of unique crops grown",10
"33","TOTALS","14G119","GLIDDEN",2020,1161.390616,1931395,"Carroll County",42.05,-94.72,"Valuation With G&E Utilities",37377552,127.2800012,29366398.21,"RURAL PLUS",11.11079,"Ames","Ames",60.8,68,"Fort Dodge",55.32,66,"Carroll",7.61,11,"Carroll, microMSA",326283.8836,280.9424142,0.250291424,25285.54803,1573004675,25508.91454,13.99845348,99.12435901,79.37155355,11,NA,NA,NA,NA,NA,NA,NA,NA,5,"shan_div_h","Shannon's Diversity Index",0.728729117814563
"34","TOTALS","14G119","GLIDDEN",2020,1161.390616,1931395,"Carroll County",42.05,-94.72,"Valuation With G&E Utilities",37377552,127.2800012,29366398.21,"RURAL PLUS",11.11079,"Ames","Ames",60.8,68,"Fort Dodge",55.32,66,"Carroll",7.61,11,"Carroll, microMSA",326283.8836,280.9424142,0.250291424,25285.54803,1573004675,25508.91454,13.99845348,99.12435901,79.37155355,11,NA,NA,NA,NA,NA,NA,NA,NA,5,"shan_e","Shannon's Evenness Index",0.316483034669089
"35","TOTALS","14G119","GLIDDEN",2020,1161.390616,1931395,"Carroll County",42.05,-94.72,"Valuation With G&E Utilities",37377552,127.2800012,29366398.21,"RURAL PLUS",11.11079,"Ames","Ames",60.8,68,"Fort Dodge",55.32,66,"Carroll",7.61,11,"Carroll, microMSA",326283.8836,280.9424142,0.250291424,25285.54803,1573004675,25508.91454,13.99845348,99.12435901,79.37155355,11,NA,NA,NA,NA,NA,NA,NA,NA,5,"simp_d1","Simpson's Diveristy Index, Chance",0.475142356034494
"36","TOTALS","14G119","GLIDDEN",2020,1161.390616,1931395,"Carroll County",42.05,-94.72,"Valuation With G&E Utilities",37377552,127.2800012,29366398.21,"RURAL PLUS",11.11079,"Ames","Ames",60.8,68,"Fort Dodge",55.32,66,"Carroll",7.61,11,"Carroll, microMSA",326283.8836,280.9424142,0.250291424,25285.54803,1573004675,25508.91454,13.99845348,99.12435901,79.37155355,11,NA,NA,NA,NA,NA,NA,NA,NA,5,"simp_e","Simpson's Evenness Index",0.190527852932579
"37","TOTALS","94G905","GOWRIE",2020,996.4742597,1931710,"Webster County",42.27,-94.28,"Valuation With G&E Utilities",28420833,127.2800012,22329378.32,"RURAL PLUS",17.71024,"Ames","Ames",54.02,62,"Fort Dodge",20.85,30,"Boone",35.79,45,"Fort Dodge, microMSA",395458.6492,396.857867,0.250291424,22408.38447,1573004675,25508.91454,13.99845348,87.84530769,126.5156899,30,NA,NA,NA,NA,NA,NA,NA,NA,5,"ag_prop","Proportion of land dedicated to ag",0.899964362828334
"38","TOTALS","94G905","GOWRIE",2020,996.4742597,1931710,"Webster County",42.27,-94.28,"Valuation With G&E Utilities",28420833,127.2800012,22329378.32,"RURAL PLUS",17.71024,"Ames","Ames",54.02,62,"Fort Dodge",20.85,30,"Boone",35.79,45,"Fort Dodge, microMSA",395458.6492,396.857867,0.250291424,22408.38447,1573004675,25508.91454,13.99845348,87.84530769,126.5156899,30,NA,NA,NA,NA,NA,NA,NA,NA,5,"ncrops","Number of unique crops grown",12
"39","TOTALS","94G905","GOWRIE",2020,996.4742597,1931710,"Webster County",42.27,-94.28,"Valuation With G&E Utilities",28420833,127.2800012,22329378.32,"RURAL PLUS",17.71024,"Ames","Ames",54.02,62,"Fort Dodge",20.85,30,"Boone",35.79,45,"Fort Dodge, microMSA",395458.6492,396.857867,0.250291424,22408.38447,1573004675,25508.91454,13.99845348,87.84530769,126.5156899,30,NA,NA,NA,NA,NA,NA,NA,NA,5,"shan_div_h","Shannon's Diversity Index",0.764408809031303
"40","TOTALS","94G905","GOWRIE",2020,996.4742597,1931710,"Webster County",42.27,-94.28,"Valuation With G&E Utilities",28420833,127.2800012,22329378.32,"RURAL PLUS",17.71024,"Ames","Ames",54.02,62,"Fort Dodge",20.85,30,"Boone",35.79,45,"Fort Dodge, microMSA",395458.6492,396.857867,0.250291424,22408.38447,1573004675,25508.91454,13.99845348,87.84530769,126.5156899,30,NA,NA,NA,NA,NA,NA,NA,NA,5,"shan_e","Shannon's Evenness Index",0.307620734604464
"41","TOTALS","94G905","GOWRIE",2020,996.4742597,1931710,"Webster County",42.27,-94.28,"Valuation With G&E Utilities",28420833,127.2800012,22329378.32,"RURAL PLUS",17.71024,"Ames","Ames",54.02,62,"Fort Dodge",20.85,30,"Boone",35.79,45,"Fort Dodge, microMSA",395458.6492,396.857867,0.250291424,22408.38447,1573004675,25508.91454,13.99845348,87.84530769,126.5156899,30,NA,NA,NA,NA,NA,NA,NA,NA,5,"simp_d1","Simpson's Diveristy Index, Chance",0.502493012190431
"42","TOTALS","94G905","GOWRIE",2020,996.4742597,1931710,"Webster County",42.27,-94.28,"Valuation With G&E Utilities",28420833,127.2800012,22329378.32,"RURAL PLUS",17.71024,"Ames","Ames",54.02,62,"Fort Dodge",20.85,30,"Boone",35.79,45,"Fort Dodge, microMSA",395458.6492,396.857867,0.250291424,22408.38447,1573004675,25508.91454,13.99845348,87.84530769,126.5156899,30,NA,NA,NA,NA,NA,NA,NA,NA,5,"simp_e","Simpson's Evenness Index",0.167501834899314
"43","TOTALS","46G429","HUMBOLDT",2020,4533.648668,1937560,"Humboldt County",42.72,-94.22,"Valuation With G&E Utilities",212671101,127.2800012,167089172.7,"URBAN CLUSTER",15.65072,"Ames","Ames",84.82,88,"Fort Dodge",19.02,27,"Storm Lake",55.68,66,"Fort Dodge, microMSA",2615065.857,576.81264,0.132155136,36855.34212,1326932150,30660.39876,15.70403798,120.2050319,99.66048233,27,NA,NA,NA,NA,NA,NA,NA,NA,5,"ag_prop","Proportion of land dedicated to ag",0.783470842525408
"44","TOTALS","46G429","HUMBOLDT",2020,4533.648668,1937560,"Humboldt County",42.72,-94.22,"Valuation With G&E Utilities",212671101,127.2800012,167089172.7,"URBAN CLUSTER",15.65072,"Ames","Ames",84.82,88,"Fort Dodge",19.02,27,"Storm Lake",55.68,66,"Fort Dodge, microMSA",2615065.857,576.81264,0.132155136,36855.34212,1326932150,30660.39876,15.70403798,120.2050319,99.66048233,27,NA,NA,NA,NA,NA,NA,NA,NA,5,"ncrops","Number of unique crops grown",10
"45","TOTALS","46G429","HUMBOLDT",2020,4533.648668,1937560,"Humboldt County",42.72,-94.22,"Valuation With G&E Utilities",212671101,127.2800012,167089172.7,"URBAN CLUSTER",15.65072,"Ames","Ames",84.82,88,"Fort Dodge",19.02,27,"Storm Lake",55.68,66,"Fort Dodge, microMSA",2615065.857,576.81264,0.132155136,36855.34212,1326932150,30660.39876,15.70403798,120.2050319,99.66048233,27,NA,NA,NA,NA,NA,NA,NA,NA,5,"shan_div_h","Shannon's Diversity Index",0.730705263431177
"46","TOTALS","46G429","HUMBOLDT",2020,4533.648668,1937560,"Humboldt County",42.72,-94.22,"Valuation With G&E Utilities",212671101,127.2800012,167089172.7,"URBAN CLUSTER",15.65072,"Ames","Ames",84.82,88,"Fort Dodge",19.02,27,"Storm Lake",55.68,66,"Fort Dodge, microMSA",2615065.857,576.81264,0.132155136,36855.34212,1326932150,30660.39876,15.70403798,120.2050319,99.66048233,27,NA,NA,NA,NA,NA,NA,NA,NA,5,"shan_e","Shannon's Evenness Index",0.317341263805822
"47","TOTALS","46G429","HUMBOLDT",2020,4533.648668,1937560,"Humboldt County",42.72,-94.22,"Valuation With G&E Utilities",212671101,127.2800012,167089172.7,"URBAN CLUSTER",15.65072,"Ames","Ames",84.82,88,"Fort Dodge",19.02,27,"Storm Lake",55.68,66,"Fort Dodge, microMSA",2615065.857,576.81264,0.132155136,36855.34212,1326932150,30660.39876,15.70403798,120.2050319,99.66048233,27,NA,NA,NA,NA,NA,NA,NA,NA,5,"simp_d1","Simpson's Diveristy Index, Chance",0.480478704201858
"48","TOTALS","46G429","HUMBOLDT",2020,4533.648668,1937560,"Humboldt County",42.72,-94.22,"Valuation With G&E Utilities",212671101,127.2800012,167089172.7,"URBAN CLUSTER",15.65072,"Ames","Ames",84.82,88,"Fort Dodge",19.02,27,"Storm Lake",55.68,66,"Fort Dodge, microMSA",2615065.857,576.81264,0.132155136,36855.34212,1326932150,30660.39876,15.70403798,120.2050319,99.66048233,27,NA,NA,NA,NA,NA,NA,NA,NA,5,"simp_e","Simpson's Evenness Index",0.192484891011772
"49","TOTALS","37G349","JEFFERSON",2020,4138.271246,1939450,"Greene County",42.01,-94.37,"Valuation With G&E Utilities",179825535,127.2800012,141283417.1,"URBAN CLUSTER",14.59724,"Ames","Ames",42.64,49,"Fort Dodge",40.26,49,"Carroll",27.15,32,"Carroll, microMSA",2062347.948,498.3597799,0.132155136,34140.68549,1326932150,30660.39876,15.70403798,111.3510811,92.952144,32,NA,NA,NA,NA,NA,NA,NA,NA,5,"ag_prop","Proportion of land dedicated to ag",0.719935459906208
"50","TOTALS","37G349","JEFFERSON",2020,4138.271246,1939450,"Greene County",42.01,-94.37,"Valuation With G&E Utilities",179825535,127.2800012,141283417.1,"URBAN CLUSTER",14.59724,"Ames","Ames",42.64,49,"Fort Dodge",40.26,49,"Carroll",27.15,32,"Carroll, microMSA",2062347.948,498.3597799,0.132155136,34140.68549,1326932150,30660.39876,15.70403798,111.3510811,92.952144,32,NA,NA,NA,NA,NA,NA,NA,NA,5,"ncrops","Number of unique crops grown",14
"51","TOTALS","37G349","JEFFERSON",2020,4138.271246,1939450,"Greene County",42.01,-94.37,"Valuation With G&E Utilities",179825535,127.2800012,141283417.1,"URBAN CLUSTER",14.59724,"Ames","Ames",42.64,49,"Fort Dodge",40.26,49,"Carroll",27.15,32,"Carroll, microMSA",2062347.948,498.3597799,0.132155136,34140.68549,1326932150,30660.39876,15.70403798,111.3510811,92.952144,32,NA,NA,NA,NA,NA,NA,NA,NA,5,"shan_div_h","Shannon's Diversity Index",0.803941183685511
"52","TOTALS","37G349","JEFFERSON",2020,4138.271246,1939450,"Greene County",42.01,-94.37,"Valuation With G&E Utilities",179825535,127.2800012,141283417.1,"URBAN CLUSTER",14.59724,"Ames","Ames",42.64,49,"Fort Dodge",40.26,49,"Carroll",27.15,32,"Carroll, microMSA",2062347.948,498.3597799,0.132155136,34140.68549,1326932150,30660.39876,15.70403798,111.3510811,92.952144,32,NA,NA,NA,NA,NA,NA,NA,NA,5,"shan_e","Shannon's Evenness Index",0.304631951213699
